"Node count","Average node count after compression","Average height of a tree","Average height after compression"
100,74.5,9.71,7.94
200,150.15,11.08,9.35
300,225.76,12.04,10.28
400,300.3,12.78,10.99
500,374.79,13.22,11.39
600,450.73,13.65,11.7
700,525.41,14.18,12.1
800,601.54,14.72,12.83
900,674.63,14.51,12.61
1000,748.78,14.93,13
1100,822.81,15.27,13.39
1200,899.9,15.26,13.45
1300,974.63,15.62,13.83
1400,1049.21,15.8,13.96
1500,1123.67,16.04,14.26
1600,1198.28,16.35,14.33
1700,1276,16.44,14.3
1800,1349.66,16.59,14.76
1900,1425.14,16.65,14.69
2000,1499.82,16.42,14.58
2100,1574.19,16.82,15.04
2200,1650.21,16.87,14.77
2300,1726.25,17,15.05
2400,1800.24,16.96,14.86
2500,1875.19,17.08,15.09
2600,1949.01,17.39,15.39
2700,2024.85,17.32,15.48
2800,2101.04,17.53,15.58
2900,2174.49,17.26,15.35
3000,2250.19,17.75,15.74
3100,2326.64,17.81,15.85
3200,2401.47,18.09,16.17
3300,2479.38,17.75,15.82
3400,2550.43,17.93,16.1
3500,2624.4,18.26,16.31
3600,2699.53,18.07,16.3
3700,2771.66,18.39,16.32
3800,2850.18,18.64,16.53
3900,2926.01,18.27,16.32
4000,3000.84,18.29,16.22
4100,3073.41,18.68,16.57
4200,3151.33,18.36,16.26
4300,3227.9,18.59,16.57
4400,3300.26,18.67,16.74
4500,3374.3,18.6,16.62
4600,3448.78,18.72,16.81
4700,3526.53,18.92,16.91
4800,3599.24,18.66,16.73
4900,3668.88,18.76,16.93
5000,3748.71,18.72,16.86
5100,3824.25,19.12,17.12
5200,3899.6,19.07,17.21
5300,3977.04,18.97,17.1
5400,4048.81,19.03,17.06
5500,4124.53,19.23,17.37
5600,4199.99,19.01,17.11
5700,4277,19.46,17.58
5800,4348.51,19.33,17.41
5900,4426.23,19.34,17.41
6000,4503.66,19.43,17.33
6100,4571.41,19.3,17.38
6200,4652.32,19.46,17.52
6300,4722.27,19.41,17.48
6400,4803.5,19.47,17.65
6500,4878.59,19.71,17.63
6600,4951.24,19.37,17.45
6700,5027.27,19.6,17.6
6800,5095.37,19.84,17.82
6900,5177.65,19.63,17.8
7000,5255.14,19.8,17.79
7100,5329.86,19.88,18.01
7200,5404.85,19.6,17.44
7300,5481.08,20.01,18.11
7400,5549.23,19.8,17.79
7500,5625.44,19.9,18.08
7600,5699.84,19.87,17.95
7700,5775.2,19.89,18.05
7800,5854.13,19.9,18
7900,5923.11,19.91,17.89
8000,6002.22,19.72,17.85
8100,6070.57,19.93,18.1
8200,6148.14,20.08,18.19
8300,6225.9,19.95,18.02
8400,6299.45,20.34,18.31
8500,6366.55,20.01,18.14
8600,6449.21,20.41,18.47
8700,6520.54,20.09,18.26
8800,6597.16,20.25,18.21
8900,6674.86,20.49,18.6
9000,6753.11,20.15,18.23
9100,6818.94,20.42,18.48
9200,6903.39,20.54,18.69
9300,6977.16,20.41,18.48
9400,7054.5,20.54,18.58
9500,7124.63,20.32,18.43
9600,7195.54,20.58,18.47
9700,7273.69,20.36,18.53
9800,7351.95,20.51,18.64
9900,7431.89,20.89,18.91
10000,7506.48,20.46,18.71
